                id                | name  |                                                   jsondata                                                    
 64E52F5C42AF45C07E1349BEB181A104 | ɵ̞ː    | {"wikipedia_url": "http://en.wikipedia.org/wiki/Close-mid_central_rounded_vowel"}
 A5176F73648084056F9A091440AB3FBB | ʝ     | {"wikipedia_url": "http://en.wikipedia.org/wiki/Voiced_palatal_fricative"}
 788A21A51B512E5D85AC93FCB2C5F4B3 | k̟     | {"wikipedia_url": "http://en.wikipedia.org/wiki/Voiceless_velar_stop"}
 0D5532C7D78A47723C3DCBA529FD22B6 | lˠ    | {"wikipedia_url": "http://en.wikipedia.org/wiki/Alveolar_lateral_approximant"}
 7D4AEC4169D5DB682621A0F86C706FC9 | ɔː    | {"wikipedia_url": "http://en.wikipedia.org/wiki/Open-mid_back_rounded_vowel"}
 3A3393BDCDC64FE0B39793147F9DBA7D | ɨ     | {"wikipedia_url": "http://en.wikipedia.org/wiki/Close_central_unrounded_vowel"}
 55C328C4539D138964636333EABA3949 | ɔ     | {"wikipedia_url": "http://en.wikipedia.org/wiki/Open-mid_back_rounded_vowel"}
 694212B746622E482E0E58D50036100E | b     | {"wikipedia_url": "http://en.wikipedia.org/wiki/Voiced_bilabial_stop"}
 E6253384902D489FDB1FE487B7ED4AB2 | d     | {"wikipedia_url": "http://en.wikipedia.org/wiki/Voiced_alveolar_stop"}
 EA4BE781596BA71D03B0E14F300A1669 | ɨː    | {"wikipedia_url": "http://en.wikipedia.org/wiki/Close_central_unrounded_vowel"}
 FC7AAC2F2DD0F75DE6A9EC1F88A4ADB6 | tʲ    | {"wikipedia_url": "http://en.wikipedia.org/wiki/Template_talk:Braille"}
 4AC7382217172B3821AE54CD38BD8698 | q     | {"wikipedia_url": "http://en.wikipedia.org/wiki/Voiceless_uvular_stop"}
 548D8E709B3C8F7FFB5983EA5E033D11 | lʲ    | {"wikipedia_url": "http://en.wikipedia.org/wiki/Alveolar_lateral_approximant"}
 AE22B011DAF9516E3388AF4E418B00F4 | sʲ    | {"wikipedia_url": "http://en.wikipedia.org/wiki/Voiceless_alveolar_sibilant"}
 9F38F051ADBEAF0BBD331FEE5F68BA0A | nʲ    | {"wikipedia_url": "http://en.wikipedia.org/wiki/Alveolar_nasal"}
 9E7CDEEE9F0DE43C10181AE483F62CBD | ʃ     | {"wikipedia_url": "http://en.wikipedia.org/wiki/Voiceless_palato-alveolar_sibilant"}
 465EE3F0BEA81EE218D543948184526C | t̠ʃʷʰ  | {"wikipedia_url": "http://en.wikipedia.org/wiki/Voiceless_palato-alveolar_affricate"}
 1B3FC40CDA830A2E1D11737C375F56B5 | ø̞ˤ    | {"wikipedia_url": "http://en.wikipedia.org/wiki/Close-mid_front_rounded_vowel"}
 DAC6AC8BCA2D24EFF188A7129D280801 | ʒ     | {"wikipedia_url": "http://en.wikipedia.org/wiki/Voiced_palato-alveolar_sibilant"}
 EC85E594963DDE8FC032ADBF28B2012A | t̠ʃʷʼ  | {"wikipedia_url": "http://en.wikipedia.org/wiki/Voiceless_palato-alveolar_affricate"}
 0C09EF7DD3A046DCF26731D2541C461C | kʷʰ   | {"wikipedia_url": "http://en.wikipedia.org/wiki/Voiceless_velar_stop"}
 F4908317E8B8D67C64129D5DAF89C210 | ɢʷ    | {"wikipedia_url": "http://en.wikipedia.org/wiki/Voiced_uvular_stop"}
 73C29ACCE17EFB4239E53D799AD7C696 | t̠ʃʼ   | {"wikipedia_url": "http://en.wikipedia.org/wiki/Voiceless_palato-alveolar_affricate"}
 646674CE0AF099A6E69FB25363B53313 | pʼ    | {"wikipedia_url": "http://en.wikipedia.org/wiki/Bilabial_ejective"}
 EE5AC204287B3AF89F3166256CDE5559 | t͈     | {"wikipedia_url": "http://en.wikipedia.org/wiki/Template_talk:Braille"}
 F83357706FAC7418CD46C5450CDF5597 | p͈     | {"wikipedia_url": "http://en.wikipedia.org/wiki/Voiceless_bilabial_stop"}
 79CFDD4943BC9A9354E6A0E965288214 | kʷʼ   | {"wikipedia_url": "http://en.wikipedia.org/wiki/Voiceless_velar_stop"}
 B63FEEF52B9E1ABA6EC843C4A58C756D | t͈sʷ   | {"wikipedia_url": "http://en.wikipedia.org/wiki/Voiceless_alveolar_sibilant_affricate"}
 26770129337E78245F6006266F845267 | χʷ    | {"wikipedia_url": "http://en.wikipedia.org/wiki/Voiceless_uvular_fricative"}
 871B92989C5EC420B7D61B05731D1E83 | qʰ    | {"wikipedia_url": "http://en.wikipedia.org/wiki/Voiceless_uvular_stop"}
 65A2A98D5831A675356CA6D0AB9F73AC | x͈     | {"wikipedia_url": "http://en.wikipedia.org/wiki/Voiceless_velar_fricative"}
 C699D862DAE3202097065A59720E60BC | ħ     | {"wikipedia_url": "http://en.wikipedia.org/wiki/Voiceless_pharyngeal_fricative"}
 F004A6DF8DC34AB3759000D0EEA099AC | qʼ    | {"wikipedia_url": "http://en.wikipedia.org/wiki/Uvular_ejective"}
 BD268DF0692900D2F893977D115E9B78 | k͈ʷ    | {"wikipedia_url": "http://en.wikipedia.org/wiki/Voiceless_velar_stop"}
 2ABD945579E027CB41F69A6CFF957108 | s͈     | {"wikipedia_url": "http://en.wikipedia.org/wiki/Voiceless_alveolar_sibilant"}
 F62AFB705D2A2D30BB41CF3FBE917891 | x     | {"wikipedia_url": "http://en.wikipedia.org/wiki/Voiceless_velar_fricative"}
